date,AAPL,IBM,GOOG,XOM,cash,port_val
2011-12-07,14098.165512084961,253913.32092285156,-34158.41693878174,0.0,835087.9934598926,1068941.0629560472
2011-12-08,14155.051803588867,250681.36596679688,-33756.22272491455,0.0,835087.9934598926,1066168.1885053637
2011-12-09,14262.3046875,254580.72967529297,-34379.23812866211,0.0,835087.9934598926,1069551.7896940233
2011-12-12,14197.810363769531,251466.56951904297,-34268.0061340332,0.0,835087.9934598926,1066484.3672086718
2011-12-13,14088.02261352539,250118.7271118164,-34281.15692138672,0.0,835087.9934598926,1065013.5862638475
2011-12-14,13775.68473815918,246939.1571044922,-33866.90711975098,0.0,835087.9934598926,1061935.9281827928
2011-12-15,13730.394744873047,245316.49932861328,-33947.45674133301,0.0,835087.9934598926,1060187.4307920458
2011-12-16,13805.757522583008,240200.39825439453,-34299.238204956055,0.0,835087.9934598926,1054794.911031914
2011-12-19,13848.878860473633,239310.5255126953,-34072.93472290039,0.0,835087.9934598926,1054174.463110161
2011-12-20,0.0,245002.52532958984,-34540.882873535156,0.0,849353.0364351276,1059814.6788911824
2011-12-21,239.41408157348633,237452.52990722656,-34291.567611694336,0.0,849102.4752831463,1052502.851660252
2011-12-22,240.6822395324707,238198.37341308594,-34504.17060852051,0.0,849102.4752831463,1053037.3603272443
2011-12-23,243.56891632080078,241744.35272216797,-34692.66242980957,0.0,849102.4752831463,1056397.7344918256
2011-12-27,245.5013656616211,242006.14318847656,0.0,0.0,813834.86055975,1056086.505113888
2011-12-28,243.15221786499023,0.0,0.0,0.0,1053371.0892020229,1053614.2414198879
